"lb","ub","method","Delta","Mbar"
-3.99691414868623,17.3199613109737,"C-LF","DeltaRM",0.5
-14.6553518785162,27.9783990408036,"C-LF","DeltaRM",1
-26.2019927524986,39.5250399147861,"C-LF","DeltaRM",1.5
-36.8604304823286,43.9660556355486,"C-LF","DeltaRM",2
