"lb","ub","method","Delta","Mbar"
-10.8038463241907,15.9485350499957,"C-LF","DeltaRM",0.5
-23.1510992661229,28.2957879919279,"C-LF","DeltaRM",1
-35.4983522080551,41.6719786790211,"C-LF","DeltaRM",1.5
-47.8456051499872,50.9324183854703,"C-LF","DeltaRM",2
