"estimate","att","se","reliable_se"
"overall_simple",-11.5335,6.49433403717525,TRUE
"group_NGA_PHL_q1_2023",-9.54570833333333,6.44930678068844,TRUE
"group_KEN_q3_2023",-16.8342777777778,6.26812644048033,FALSE
