id,iso3,country,group,gvar,period,year,quarter,median_d_mbps,mean_d_mbps_test_weighted,median_u_mbps,n_tiles,n_tests,n_devices
5,THA,Thailand,control,0,1,2022,1,183.419,218.74601672062624,157.658,124363.0,2411991.0,722314.0
5,THA,Thailand,control,0,2,2022,2,184.991,219.26083526826773,160.5205,124870.0,2281042.0,710979.0
5,THA,Thailand,control,0,3,2022,3,189.4475,222.50827374134792,165.59550000000002,117538.0,2149204.0,671429.0
5,THA,Thailand,control,0,4,2022,4,193.476,229.9641476097916,168.984,116615.0,2098499.0,666212.0
5,THA,Thailand,control,0,5,2023,1,199.787,236.7952038829185,172.942,106035.0,1717162.0,573903.0
5,THA,Thailand,control,0,6,2023,2,198.1215,238.3223939616202,172.787,105738.0,1577443.0,537754.0
5,THA,Thailand,control,0,7,2023,3,211.188,248.2696798480856,183.0725,106720.0,1737294.0,565046.0
5,THA,Thailand,control,0,8,2023,4,214.8255,253.5392644274806,185.8635,110018.0,1813397.0,594753.0
5,THA,Thailand,control,0,9,2024,1,226.387,261.9725482485192,196.1335,109042.0,1834305.0,593884.0
5,THA,Thailand,control,0,10,2024,2,234.992,271.04078181022,201.595,109908.0,1790368.0,577339.0
5,THA,Thailand,control,0,11,2024,3,243.92,279.97525074211524,209.48,105386.0,1707619.0,544680.0
5,THA,Thailand,control,0,12,2024,4,251.014,290.56414881642735,214.049,104990.0,1555460.0,516769.0
6,VNM,Vietnam,control,0,1,2022,1,52.93,75.15926410001354,50.352,117328.0,1948296.0,594741.0
6,VNM,Vietnam,control,0,2,2022,2,53.623,78.73164699576905,51.267,110130.0,1762248.0,561161.0
6,VNM,Vietnam,control,0,3,2022,3,55.2,80.97830304393241,52.496,107319.0,1758679.0,539832.0
6,VNM,Vietnam,control,0,4,2022,4,61.008,88.73302387887729,57.655,112211.0,1886814.0,571122.0
6,VNM,Vietnam,control,0,5,2023,1,68.8735,104.75123367687894,65.48949999999999,114828.0,1912992.0,601184.0
6,VNM,Vietnam,control,0,6,2023,2,74.497,111.8358463956484,70.031,110147.0,1756044.0,553426.0
6,VNM,Vietnam,control,0,7,2023,3,77.563,118.25741558693484,71.8125,110300.0,1881640.0,573352.0
6,VNM,Vietnam,control,0,8,2023,4,82.7465,123.25486515670872,76.08,110776.0,1910870.0,575621.0
6,VNM,Vietnam,control,0,9,2024,1,84.513,126.39945887994456,78.44,118571.0,1956296.0,595964.0
6,VNM,Vietnam,control,0,10,2024,2,92.7585,139.74785696128413,86.3895,118456.0,2059778.0,611273.0
6,VNM,Vietnam,control,0,11,2024,3,100.293,148.19188073257078,91.191,119690.0,2123044.0,631882.0
6,VNM,Vietnam,control,0,12,2024,4,126.948,170.44520961092783,112.135,126431.0,2397833.0,693933.0
